Name,Rarity,Level,Element Type,Abilities,CP,Avg. Attack,Defense,HP,Avg. Speed,Stamina,Price
Anubis,Epic,10,Earth,"[{'name': 'Stone Blast', 'level': 1, 'power': 55, 'cooldown': 10, 'range': '500 - 4000'}, {'name': 'Power Bomb', 'level': 7, 'power': 70, 'cooldown': 15, 'range': '1000 - 9999'}, {'name': 'Sand Tornado', 'level': 15, 'power': 80, 'cooldown': 18, 'range': '100 - 3000'}, {'name': 'Spinning Roundhouse', 'level': 22, 'power': 100, 'cooldown': 21, 'range': '0 - 300'}, {'name': 'Forceful Charge', 'level': 30, 'power': 120, 'cooldown': 28, 'range': '1500 - 5000'}, {'name': 'Ground Smash', 'level': 40, 'power': 140, 'cooldown': 35, 'range': '0 - 5000'}, {'name': 'Rock Lance', 'level': 50, 'power': 150, 'cooldown': 55, 'range': '100 - 9999'}]",350.0,130.0,100,120,626.6666666666666,100,4960
Arsox,Common,4,Fire,"[{'name': 'Ignis Blast', 'level': 1, 'power': 30, 'cooldown': 2, 'range': '500 - 5000'}, {'name': 'Blazing Horn', 'level': 7, 'power': 50, 'cooldown': 9, 'range': '1000 - 2500'}, {'name': 'Spirit Fire', 'level': 15, 'power': 45, 'cooldown': 7, 'range': '1000 - 3000'}, {'name': 'Flare Arrow', 'level': 22, 'power': 55, 'cooldown': 10, 'range': '500 - 5000'}, {'name': 'Ignis Breath', 'level': 30, 'power': 70, 'cooldown': 15, 'range': '500 - 1500'}, {'name': 'Ignis Rage', 'level': 40, 'power': 120, 'cooldown': 40, 'range': '100 - 1000'}, {'name': 'Fire Ball', 'level': 50, 'power': 150, 'cooldown': 55, 'range': '500 - 9999'}]",277.5,97.5,95,85,495.6666666666667,100,3520
Astegon,Epic,9,DragonDark,"[{'name': 'Dragon Cannon', 'level': 1, 'power': 30, 'cooldown': 2, 'range': '500 - 4000'}, {'name': 'Spirit Flame', 'level': 7, 'power': 75, 'cooldown': 16, 'range': '500 - 5000'}, {'name': 'Dragon Burst', 'level': 15, 'power': 55, 'cooldown': 10, 'range': '0 - 200'}, {'name': 'Nightmare Ball', 'level': 22, 'power': 100, 'cooldown': 30, 'range': '1000 - 9999'}, {'name': 'Draconic Breath', 'level': 30, 'power': 70, 'cooldown': 15, 'range': '500 - 1500'}, {'name': 'Dark Laser', 'level': 40, 'power': 150, 'cooldown': 55, 'range': '500 - 1800'}, {'name': 'Dragon Meteor', 'level': 50, 'power': 150, 'cooldown': 55, 'range': '500 - 5000'}]",337.5,112.5,125,100,500.0,300,8200
Azurobe,Rare,7,WaterDragon,"[{'name': 'Aqua Gun', 'level': 1, 'power': 40, 'cooldown': 4, 'range': '500 - 5000'}, {'name': 'Dragon Cannon', 'level': 7, 'power': 30, 'cooldown': 2, 'range': '500 - 4000'}, {'name': 'Bubble Blast', 'level': 15, 'power': 65, 'cooldown': 13, 'range': '1000 - 3500'}, {'name': 'Dragon Burst', 'level': 22, 'power': 55, 'cooldown': 10, 'range': '0 - 200'}, {'name': 'Draconic Breath', 'level': 30, 'power': 70, 'cooldown': 15, 'range': '500 - 1500'}, {'name': 'Hydro Laser', 'level': 40, 'power': 150, 'cooldown': 55, 'range': '500 - 1800'}, {'name': 'Dragon Meteor', 'level': 50, 'power': 150, 'cooldown': 55, 'range': '500 - 5000'}]",295.0,85.0,100,110,491.6666666666667,100,5600
Beakon,Rare,6,Electricity,"[{'name': 'Air Cannon', 'level': 1, 'power': 25, 'cooldown': 2, 'range': '500 - 4000'}, {'name': 'Spark Blast', 'level': 7, 'power': 30, 'cooldown': 2, 'range': '500 - 5000'}, {'name': 'Shockwave', 'level': 15, 'power': 40, 'cooldown': 4, 'range': '0 - 300'}, {'name': 'Lightning Streak', 'level': 22, 'power': 75, 'cooldown': 16, 'range': '500 - 2000'}, {'name': 'Tri-Lightning', 'level': 30, 'power': 90, 'cooldown': 22, 'range': '0 - 9999'}, {'name': 'Sand Tornado', 'level': 40, 'power': 80, 'cooldown': 18, 'range': '100 - 3000'}, {'name': 'Lightning Bolt', 'level': 50, 'power': 150, 'cooldown': 55, 'range': '500 - 3000'}]",292.5,107.5,80,105,683.3333333333334,160,7490
Beegarde,Common,4,Leaf,"[{'name': 'Air Cannon', 'level': 1, 'power': 25, 'cooldown': 2, 'range': '500 - 4000'}, {'name': 'Wind Cutter', 'level': 7, 'power': 30, 'cooldown': 2, 'range': '500 - 5000'}, {'name': 'Bee Quiet', 'level': 15, 'power': 250, 'cooldown': 55, 'range': '0 - 1000'}, {'name': 'Poison Blast', 'level': 22, 'power': 30, 'cooldown': 2, 'range': '500 - 3000'}, {'name': 'Acid Rain', 'level': 30, 'power': 80, 'cooldown': 18, 'range': '100 - 1000'}, {'name': 'Grass Tornado', 'level': 40, 'power': 80, 'cooldown': 18, 'range': '700 - 3000'}, {'name': 'Solar Blast', 'level': 50, 'power': 150, 'cooldown': 55, 'range': '500 - 1800'}]",265.0,95.0,90,80,375.0,100,1880
Bellanoir,Legendary,20,Dark,"[{'name': 'Dark Cannon', 'level': 1, 'power': 50, 'cooldown': 2, 'range': '500 - 5000'}, {'name': 'Umbral Surge', 'level': 7, 'power': 40, 'cooldown': 2, 'range': '500 - 5000'}, {'name': 'Dark Arrow', 'level': 15, 'power': 65, 'cooldown': 10, 'range': '500 - 5000'}, {'name': 'Spirit Flame', 'level': 22, 'power': 75, 'cooldown': 16, 'range': '500 - 5000'}, {'name': 'Nightmare Ball', 'level': 30, 'power': 100, 'cooldown': 30, 'range': '1000 - 9999'}, {'name': 'Apocalypse', 'level': 40, 'power': 110, 'cooldown': 55, 'range': '100 - 9999'}, {'name': 'Nightmare Ray', 'level': 50, 'power': 140, 'cooldown': 50, 'range': '0 - 9999'}]",345.0,125.0,100,120,500.0,100,10030
Bellanoir Libero,Legendary,20,Dark,"[{'name': 'Dark Cannon', 'level': 1, 'power': 50, 'cooldown': 2, 'range': '500 - 5000'}, {'name': 'Umbral Surge', 'level': 7, 'power': 40, 'cooldown': 2, 'range': '500 - 5000'}, {'name': 'Dark Arrow', 'level': 15, 'power': 65, 'cooldown': 10, 'range': '500 - 5000'}, {'name': 'Nightmare Ball', 'level': 22, 'power': 100, 'cooldown': 30, 'range': '1000 - 9999'}, {'name': 'Apocalypse', 'level': 30, 'power': 110, 'cooldown': 55, 'range': '100 - 9999'}, {'name': 'Flame Waltz', 'level': 40, 'power': 130, 'cooldown': 45, 'range': '0 - 3000'}, {'name': 'Nightmare Bloom', 'level': 50, 'power': 160, 'cooldown': 50, 'range': '0 - 9999'}]",345.0,125.0,100,120,500.0,100,10030
Blazamut,Epic,9,Fire,"[{'name': 'Power Shot', 'level': 1, 'power': 35, 'cooldown': 4, 'range': '600 - 3000'}, {'name': 'Ignis Blast', 'level': 7, 'power': 30, 'cooldown': 2, 'range': '500 - 5000'}, {'name': 'Stone Blast', 'level': 15, 'power': 55, 'cooldown': 10, 'range': '500 - 4000'}, {'name': 'Ignis Breath', 'level': 22, 'power': 70, 'cooldown': 15, 'range': '500 - 1500'}, {'name': 'Ignis Rage', 'level': 30, 'power': 120, 'cooldown': 40, 'range': '100 - 1000'}, {'name': 'Brawn Impact', 'level': 35, 'power': 150, 'cooldown': 38, 'range': '0 - 600'}, {'name': 'Fire Ball', 'level': 40, 'power': 150, 'cooldown': 55, 'range': '500 - 9999'}, {'name': 'Rock Lance', 'level': 50, 'power': 150, 'cooldown': 55, 'range': '100 - 9999'}]",357.5,137.5,120,100,583.3333333333334,100,10520
Blazamut Ryu,Epic,10,DragonFire,"[{'name': 'Dragon Burst', 'level': 1, 'power': 55, 'cooldown': 10, 'range': '0 - 200'}, {'name': 'Ignis Breath', 'level': 7, 'power': 70, 'cooldown': 15, 'range': '500 - 1500'}, {'name': 'Flame Wall', 'level': 15, 'power': 100, 'cooldown': 30, 'range': '0 - 5000'}, {'name': 'Comet Strike', 'level': 22, 'power': 110, 'cooldown': 35, 'range': '0 - 9999'}, {'name': 'Beam Slicer', 'level': 30, 'power': 130, 'cooldown': 45, 'range': '0 - 4000'}, {'name': 'Brawn Impact', 'level': 40, 'power': 150, 'cooldown': 38, 'range': '0 - 600'}, {'name': 'Magna Crush', 'level': 50, 'power': 160, 'cooldown': 42, 'range': '0 - 9999'}]",370.0,140.0,125,105,583.3333333333334,100,10520
